2026-05-26 15:51:05.841 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=29 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:06.236 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=63 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:07.459 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=2 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:07.549 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=64 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:07.603 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=30 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:07.672 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=3 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:07.805 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=1 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:08.294 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=65 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:08.374 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=31 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:08.441 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=4 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:08.529 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=2 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:09.098 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=66 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:09.172 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=32 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:09.505 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=3 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:10.056 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=67 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:10.304 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=5 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:11.135 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=33 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:11.190 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=4 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:11.288 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=68 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:11.934 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=34 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:11.987 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=5 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

