2026-05-01 00:26:56.142 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-05-01 00:26:56.142 | INFO     | app.main:lifespan:85 | ============================================================
2026-05-01 00:26:56.152 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-05-01 00:26:56.305 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-05-01 00:26:56.306 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-05-01 00:26:56.306 | INFO     | app.main:lifespan:105 | ============================================================
2026-05-01 00:37:13.366 | INFO     | app.main:lifespan:107 | ============================================================
2026-05-01 00:37:13.367 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-05-01 00:37:13.367 | INFO     | app.main:lifespan:109 | ============================================================
2026-05-01 00:37:13.372 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
